Brand,Price,Adress,image_link-src
Location peugeot 508 avec chauffeur,25 ,Keur Massar,media/annonces/pics/b121b3382f2fe451c70433af9b5bf4e6.jpg
Location de voiture avec ou sans chauffeur,20.000 ,Thiès,media/annonces/pics/796144b9d8cebe872d29e52ae5f8fe7d.jpg
Location voiture Ford Escape 2011,40.000 ,Ouakam,media/annonces/pics/ef0ec254b16b01753ea4422825cf52db.jpeg
AUTO-ECOLE,1 ,Point E,media/annonces/pics/b86b2ab5a68c0c8f384ffec283ec4c14.jpeg
Auto-école,1 ,Point E,media/annonces/pics/7ee6366d1c989cfabb720c081ddc4458.jpeg
Auto-école,1 ,Point E,media/annonces/pics/fe0d66dcbf20e539b5e92cf90f18acf4.jpeg
Hyundai Santa Fe 2015 7 Places,50.000 ,Plateau,media/annonces/pics/435e8567799ae4679a5bf8669316f727.jpeg
Kia Sorento à louer,35.000 ,Sicap liberté,media/annonces/pics/5fe2c39df0696bf785bca141064e934e.jpeg
Location de véhicule,40.000 ,Dakar,media/annonces/pics/bca0d8e1a27852ee316fa7ec2e0a419b.jpg
Location de voitureLogements de qualité à louerConcessionnaires automobiles à proximité,15.000 ,Saly,media/annonces/pics/59d2477813b328cea3dbb7180a43673b.jpg
Location de véhicule,15.000 ,Ouakam,img/nophoto.png
Location Peugeot Partenaire,25.000 ,Almadies,media/annonces/pics/dc77f6009bad26e44286410abce2d895.jpg
Location  Pick up MitsubishiLogements de qualité à louer,40.000 ,Bene Tally,media/annonces/pics/1818d97b6962c74c4eaaddf709eb861b.jpg
Location Ford focus,30.000 ,Dakar,media/annonces/pics/c493dd93c7f53a76e2a3e56bad829219.jpg
LOCATION HYUNDAI ELANTRA,30.000 ,Point E,media/annonces/pics/50d2bee78f4c77d36a04517dc80219cc.jpg
LOCATION RANGE ROVER,200.000 ,Dakar,media/annonces/pics/d2f68c5ce9ff77083e93f3ee4f43166d.jpg
Location et vente,35.000 ,Médina,media/annonces/pics/7ba627de8acfe9e8fad90f411e8ed774.jpeg
Location et vente,45.000 ,Médina,media/annonces/pics/126a7dc71debd07af529a3354c154a90.jpeg
Location de voiture,35.000 ,Grand Yoff,media/annonces/pics/79b25abee738962c77138066c0f7b87a.jpeg
Véhicule à louer,15.000 ,Ouakam,media/annonces/pics/42331c1a4d3c5afb1e9d14a4f349dbfa.jpg
Kia Picanto à louer avec chauffeur,25.000 ,HLM,media/annonces/pics/04cdd142930b7a180654754c47a045b3.jpg
Location PEUGEOT PARTENAIRE,25.000 ,Ouakam,media/annonces/pics/1a438c0ac81b0d1436d411691160cc7c.jpg
Location de voiture,100 ,Cité Keur Gorgui,media/annonces/pics/64e82509f242471e25bf59d8958434e0.jpeg
Location de Bus,10.000 ,Keur Massar,media/annonces/pics/7035dd034d5f758be38f3b499f4f0130.jpeg
Location de véhicules,15.000 ,Ouakam,img/nophoto.png
Location de voiture,15.000 ,Ouakam,media/annonces/pics/4230267e1bcbb509e8085137f23e8e80.jpg
Location Ford Explorer,40.000 ,Sacré Coeur,media/annonces/pics/870c6dfdab400764231845753e8f976f.jpg
Location de voitures de luxe,100.000 ,Almadies,media/annonces/pics/655225f7923cdcc35d43af653ad12277.jpeg
Location Kia Sportage,30.000 ,Guédiawaye,media/annonces/pics/0396cdf51d37ef2a9a309ed317fbd64f.jpg
Location de voiture,25.000 ,Dakar,media/annonces/pics/c307a4defd6bd0a485a5f0c4c77fae22.jpeg
Location de vehicule,25.000 ,Ouakam,media/annonces/pics/3b3d32ac9318128d76b7e4381d3c204d.jpg
Location de voiture,30.000 ,Dakar,media/annonces/pics/790add4d4702c5e9e4096448d8edac96.jpg
Location de VoituresLogements de qualité à louerConcessionnaires automobiles à proximité,35.000 ,Ouakam,media/annonces/pics/ae20c706f30e56a758d173bd21620f59.jpeg
Location de véhicule,30.000 ,Médina,media/annonces/pics/e190835864737c0ca620bb59c6449209.jpeg
LOCATION DE VOITURESLogements de qualité à louerConcessionnaires automobiles à proximité,25.000 ,VDN,media/annonces/pics/445b71f3f9920c73296ab494385af9eb.jpeg
Location véhicule pick up,40.000 ,Gueule tapée,media/annonces/pics/ab09f394513bb158ef4709676028a99e.jpeg
Location de voiture  Renault megane  scenicLogements de qualité à louerConcessionnaires automobiles à proximité,12.000 ,Dakar,media/annonces/pics/b334ea90f7f62d04e7b6e40af445ce58.jpg
Location Dacia Duster 2014,30.000 ,Keur Massar,media/annonces/pics/b50e0ee00c96989297e7d1fa56fab203.jpeg
Location  Kia optima 2014Logements de qualité à louer,30.000 ,Sacré Coeur,media/annonces/pics/a7aca28b975127204361e6fdad18ff3c.jpeg
Location voiture au mois,175.000 ,Mamelles,media/annonces/pics/871c8bdb6c115a65c1d620c8722e3abf.jpeg
Location voiture au mois,150.000 ,Mamelles,media/annonces/pics/50379bcb41f6f6ef5bcc46ea85f925ac.jpeg
Location  Hyundai ElantraLogements de qualité à louer,35.000 ,Derklé,media/annonces/pics/56a90860c36b7067f90adf01b2a4628c.jpeg
Location de véhicules,40.000 ,Cité Keur Gorgui,media/annonces/pics/059d8cb751a27f28358db02af0b105c7.jpg
Location ford Escape,35.000 ,Cité Keur Gorgui,media/annonces/pics/a07531c8e9dec2e0b6dfb67f11fd26a6.jpg
Location de voiture,50.000 ,Mbao,media/annonces/pics/971e1e84c39bca61daf7dff48ca7cfca.jpeg
Transport de Voyagistes,22.000 ,Maristes,media/annonces/pics/523c88b5195e1005642398f2d917e868.jpg
Compacteur,160.000 ,Dakar,media/annonces/pics/80867e028740890f3f35d111b30ec9e3.jpeg
Pelle Poclain,275.000 ,Diamniadio,media/annonces/pics/0b584d4a784a289b55166b544a443d04.jpeg
Salon 7 places,375.000 ,Sicap liberté,media/annonces/pics/d90c4e6e8e5076c54a24e058dde309cd.jpg
Location de voiture,25.000 ,Dieuppeul,media/annonces/pics/0d4a3cbb12afd663ea391a44a6152bd1.png
Ford fusion titanuim,40.000 ,Almadies,media/annonces/pics/d211ea6e83361e8dd5874bc237f4f619.jpg
Ford fusion à louer,40.000 ,Almadies,media/annonces/pics/57d782733c6e0f7b1c2ffc12636f7ec3.jpg
Location de voiture full optionsLogements de qualité à louerConcessionnaires automobiles à proximité,40.000 ,Parcelles assainies,media/annonces/pics/651e514c44a5b4ded29f668ae913b562.jpeg
Location de voiture Hyundai Full optionsLogements de qualité à louerConcessionnaires automobiles à proximité,40.000 ,Parcelles assainies,media/annonces/pics/51c1f4c1bdb32c823751bbe57d2abcd6.jpeg
LOCATION  TOYOTA FORTUNER AVEC CHAUFFEUR A BON PRIXLogements de qualité à louer,65.000 ,Liberté 2,media/annonces/pics/2e9fd4052cbe4ba192363c1e09c12b90.jpg
Location de  véhiculesLogements de qualité à louerConcessionnaires automobiles à proximité,35.000 ,Parcelles assainies,media/annonces/pics/88f4e71ac911e7b789991b79fb78effa.jpeg
Transfert aéroport  avec voiture climatisée. 30 000 Frs.,30.000 ,Dakar,media/annonces/pics/ea4f090e4d47fa784a544f00961caedf.jpg
Vente et location de voitures,25.000 ,Almadies,media/annonces/pics/981e8cc41b285d4b5489dd8a7187acaa.jpg
LOCATION DE  CAMION SONORISELogements de qualité à louer,250.000 ,Sacré Coeur,media/annonces/pics/1d2c101f1f2e9e402cf031fad2c86f8c.png
LOCATION DE VOITURE FULL OPTION,35.000 ,Parcelles assainies,media/annonces/pics/ac100af12025a2b1e1c5cc56310334ce.jpeg
Location de voiture Hyundai,35.000 ,Parcelles assainies,media/annonces/pics/30190b3ac06e742ec85eb1c32c56d185.jpeg
Location auto full option,35.000 ,Parcelles assainies,media/annonces/pics/73f57f4778eba48966dad0bd6238456f.jpeg
LOCATION VEHICULELogements de qualité à louerConcessionnaires automobiles à proximité,35.000 ,Mermoz,media/annonces/pics/b3be8ecdc35663cf6593a0ced4f04ec2.jpg
Location de véhicules,30.000 ,Cité Keur Gorgui,media/annonces/pics/c110298d68713e3ebeccb35290f61b6b.jpg
Location de  véhiculesLogements de qualité à louer,30.000 ,Cité Keur Gorgui,media/annonces/pics/89f833dc1cf687f7b6258396f1f1198e.jpg
Location de véhicules,30.000 ,Cité Keur Gorgui,media/annonces/pics/1ab6b83d3be5bd1cec5ae90d234fc330.jpg
Location voiture avec chauffeur,50.000 ,Sud Foire,media/annonces/pics/87d8a2082cbc7d9564a665c1f607cd7a.jpg
Madza Cx5 très propres en location,45.000 ,Dakar,media/annonces/pics/96b06bf622d2bb5389f990d403c7f908.jpeg
Hyundai Elantra en locationLogements de qualité à louer,40.000 ,Dakar,media/annonces/pics/03b38bea16b943e5bdbae5005cf4d051.jpeg
Mercedes CIA Fully disponible en location,80.000 ,Dakar,media/annonces/pics/9c59f66c864280f96aaa3a8492b5bfda.jpeg
Prado Land cruiser en location,95.000 ,Dakar,media/annonces/pics/c1a142986a13d296f0de844606d6084a.jpeg
Pick-up disponible en locationLogements de qualité à louer,50.000 ,Dakar,media/annonces/pics/20ead62962d0a2ea5637133d419c3093.jpeg
Mitsubishi à louer,60.000 ,Dakar,media/annonces/pics/f27acd61d1d1e1e70d5c6e0bcf8d3cb3.jpeg
KIA Sportage à louer,45.000 ,Dakar,media/annonces/pics/1779113fda56dd33cf432627181291f2.jpeg
Jeep Cherokee à louer,35.000 ,Dakar,media/annonces/pics/21cd82d61d6049359ee336f63d977456.jpeg
Ford fusion à louer,35.000 ,Dakar,media/annonces/pics/cb0aa542a7a5d5a5b7f5720fb1d66adf.jpeg
Location : Ford fusion titanium.                                   Prix :35000f,35.000 ,Dakar,media/annonces/pics/8aeae72c26bff204308ac49808170fbe.jpeg
Hyundai Elantra en location,35.000 ,Dakar,media/annonces/pics/01837f06747de62adcfb22678a47f5b7.jpeg
"HYundaï grandeur,",45.000 ,Dakar,media/annonces/pics/47e6b83a34afc113ba81bae4f467504e.jpeg
Ford fusion,40.000 ,Dakar,media/annonces/pics/32b8d0737588632b57a09c7966bbd590.jpeg
BMW en location Logements de qualité à louer,50.000 ,Dakar,media/annonces/pics/57a5454743c1ae9f8aa9294c419a4307.jpeg
Madza en location,50.000 ,Dakar,media/annonces/pics/3eb1151776caa2a998866d1e94c8f3ad.jpeg
LOCATION VÉHICULES FORD,30.000 ,Thiaroye,media/annonces/pics/bbcc0f734406ce1f0dac79f9e7dea7a6.jpg
Location Kia K7,35.000 ,Ngor,media/annonces/pics/96a2c0e3fb811b5861a6ce5dfdbf9d3d.jpeg
FORD EXPLORER DISPONIBLE POUR LOCATION,60.000 ,Dakar,media/annonces/pics/ab20f48f820666d51b05a1adf7e8a3eb.jpeg
Hyundai Elantra à louer,30.000 ,VDN,media/annonces/pics/ba6cc6846adb6460b57622c841f91035.jpeg
Hyundai Elantra à louer,30.000 ,Sipres,media/annonces/pics/d943609d152b30de8a4d46786e52e818.jpeg
LOCATION VOITURE AVEC CHAUFFEUR Logements de qualité à louerConcessionnaires automobiles à proximité,30.000 ,Dakar,media/annonces/pics/32927326f52d1516424417454be3f764.jpeg
Firdawsi automobile,250.000 ,Dakar,media/annonces/pics/57c08300b37167a8abf08e8c7d3f8176.jpeg
Firdawsi automobileConcessionnaires automobiles à proximité,130.000 ,Dakar,media/annonces/pics/70c9a2241da909dfdf76b6cb8c5e6721.jpeg
Firdawsi automobileConcessionnaires automobiles à proximité,40.000 ,Dakar,media/annonces/pics/b16c63d92c2a6ea55386450fa03a817b.jpeg
Firdawsi automobile Concessionnaires automobiles à proximité,60.000 ,Dakar,media/annonces/pics/be1e49430d9fc5e376d38f54bd7f65cb.png
Firdawsi automobileConcessionnaires automobiles à proximité,90.000 ,Dakar,media/annonces/pics/a1d81fe67c2f6eadcbc67f082d4a4d11.jpeg
Firdawsi automobile,300.000 ,Dakar,media/annonces/pics/d939af9510dbb8eec95363776b3e4fd6.jpeg
Firdawsi automobile,300.000 ,Dakar,media/annonces/pics/9178ccb413fda62e4f9d433e6b9a5c3d.jpeg
Firdawsi automobileConcessionnaires automobiles à proximité,250.000 ,Dakar,media/annonces/pics/ce4b5281b1aeca76aba2ada2ad91db91.jpeg
Firdawsi automobile,40.000 ,Dakar,media/annonces/pics/a242a42ed1a8008ca0fa2119910d47d6.jpeg
Firdawsi automobile,50.000 ,Dakar,media/annonces/pics/c4394921d9888413b560b7f506c85b8d.jpeg
Firdawsi automobileConcessionnaires automobiles à proximité,35.000 ,Dakar,media/annonces/pics/95f0b7d5221be5423ea2c2bfeb697d40.jpeg
Firdawsi automobile,35.000 ,Dakar,media/annonces/pics/b17fc8ce6914866b44a07de24f2bd97d.jpeg
Firdawsi automobileConcessionnaires automobiles à proximité,130.000 ,Dakar,media/annonces/pics/33b8ac7c4f6c760d91a02753f40d0374.jpeg
Firdawsi automobile,40.000 ,Dakar,media/annonces/pics/9d3a6a2b49fad05a7893e83fed9b70d4.jpeg
Firdawsi automobileConcessionnaires automobiles à proximité,35.000 ,Dakar,media/annonces/pics/cc89596ad800553fb054f047d72405ad.jpeg
Firdawsi automobile,150.000 ,Dakar,media/annonces/pics/c78e901b27763e6e13a4beea442f0cd2.jpeg
Firdawsi automobile,120.000 ,Dakar,media/annonces/pics/90f13e4ef3ce9856afc22e9dabcc9664.jpeg
Firdawsi automobile,150.000 ,Dakar,media/annonces/pics/c3e4aca6d4d165a122a69b627f28f185.jpeg
Firdawsi automobile,60.000 ,Dakar,media/annonces/pics/c9c7d6a74dd674d12bb776f2f641692d.jpeg
Hyundai Sonata 2018,35.000 ,Almadies,media/annonces/pics/93b4b66b1fa0b6a9f408d4d27c3804d7.jpeg
BUS A LOUER AVEC CHAUFFEUR,60.000 ,Pikine,media/annonces/pics/44d0fb4f95a4ef7ecbb15e57c188a920.jpeg
Location Ford Escape titanium 2014,35.000 ,Keur Massar,media/annonces/pics/4ca062de9696ca9a5eb69d92a7bd79d5.jpeg
Subaru forester,35.000 ,VDN,media/annonces/pics/0624e1ebd4b8bb1f05e8fa6483489b21.jpg
Firdawsi automobile,250.000 ,Dakar,media/annonces/pics/2faacfde866a9091c21a903ea27e07de.jpeg
Dodge caravan,35.000 ,Ouakam,media/annonces/pics/414a43c0050d6f20827ae56b7186713c.jpeg
Location voiture,25.000 ,Mamelles,img/nophoto.png
